_id,fieldnumber,observationDate,validationStatus,taxon_id,taxonFullName,originalTaxonNameUsage,taxonDanishName,taxonRedListCategory,locality,country,decimalLatitude,decimalLongitude,accuracy,reportedBy,substrate,vegetationType,associatedTaxa,ecologyNotes,notes,leg,det,URI,crawled
DMS-10387536,,2023-08-30T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Rude Skov,Denmark,55.84581940589088,12.47549812818761,25,Michael Hansen,jord eller humus,blandskov (med løv- og nåletræer),"bøg (Fagus), lærk (Larix)",,"Veludviklet ring, lamelæg ikke mørk.",Michael Hansen,Michael Hansen,https://svampe.databasen.org/observations/10387536,1
DMS-10389721,,2023-10-07T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Jægerspris Slot,Denmark,55.85932754938799,11.977018117904665,10,Rasmus Riis-Hansen,jord eller humus,løvskov,,,,"Rasmus Riis-Hansen, Anders Adams",Rasmus Riis-Hansen,https://svampe.databasen.org/observations/10389721,1
DMS-10390071,,2023-10-07T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Lyngby Sø,Denmark,55.7700073342752,12.48465836048126,5,Bo Valeur,jord eller humus,levende hegn,,I lavt tæt busket område langs sti,"Fin brunlig og pigget hat og brun stok. Samme sted som for en måned siden. Ca 4-6 stk.
Ny nærfoto 9 okt, hvor pigge ses tydeligt","Bo Valeur, Peter Cilius Christensen",Bo Valeur,https://svampe.databasen.org/observations/10390071,1
DMS-10391563,,2023-10-10T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Tokkerup (Lolland),Denmark,54.69638833333333,11.729605,12,Annette Greenfort,jord eller humus,"industriel habitat (råstofgrav, savværk mv.)",løvtræ (løvtræ),I græs,"Stort frl. ; brun hat med pigge; hvidlige, gaffeldelte lameller",Annette Greenfort,Annette Greenfort,https://svampe.databasen.org/observations/10391563,1
DMS-10391668,,2023-10-11T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Agersø,Denmark,55.844863333333336,12.477608333333333,24,Malte Rod,jord eller humus,blandskov (med løv- og nåletræer),"birk (Betula), lærk (Larix), gran (Picea), nåletræ (nåletræ), løvtræ (løvtræ)",,"Metallisk lugt, tætstillede gaffeldelte lyse lameller, næsten sløragtig ring. Pigagtige skæl på hat. Ingen mørk lamelæg",Malte Rod,Malte Rod,https://svampe.databasen.org/observations/10391668,1
DMS-10392049,,2023-10-11T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Skanderborg Dyrehave,Denmark,56.0247316,9.9237414,12,Jens Mårbjerg,jord eller humus,løvskov,bøg (Fagus),,,Jens Mårbjerg,Jens Mårbjerg,https://svampe.databasen.org/observations/10392049,1
DMS-10400275,,2023-10-28T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Ejsbølgård,Denmark,55.25626166666667,9.455333333333334,4,Susanne Strøm,jord eller humus,have,gran (Picea),,Grim lugt. Hatdiameter på 11 cm.,Susanne Strøm,Susanne Strøm,https://svampe.databasen.org/observations/10400275,1
DMS-10400573,,2023-10-28T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Hegedal,Denmark,56.64986285072024,9.818612337112429,10,Arne Pedersen,jord eller humus,kyst- og overdrevskrat,elm (Ulmus),,"Hat  udbredt 9,0 cm,Lameller lyse,cremede.Stokken 6,5 x 1,5 cm.",Arne Pedersen,Arne Pedersen,https://svampe.databasen.org/observations/10400573,1
DMS-10400513,,2023-10-28T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Sandet,Denmark,55.77482157362306,12.340862788259985,5,Kasper Nøhr Bertelsen,jord eller humus,løvskov med naturskovspræg,rød-el (Alnus glutinosa),,,Kasper Nøhr Bertelsen,Kasper Nøhr Bertelsen,https://svampe.databasen.org/observations/10400513,1
DMS-10402061,,2023-10-31T00:00:00.000Z,approved,16165,Echinoderma asperum,,stor pigparasolhat,LC,Kolding,Denmark,55.48597300101749,9.4698476659687,5,Margaretha Liebmann,jord eller humus,park/kirkegård,eg (Quercus),Vokser to steder i tæt kontakt med egetræer.  Midten af hatten dækket af mørkebrune pigge.,,Margaretha Liebmann,Margaretha Liebmann,https://svampe.databasen.org/observations/10402061,1
