"_id","fieldnumber","observationDate","validationStatus","taxon_id","taxonFullName","originalTaxonNameUsage","taxonDanishName","taxonRedListCategory","locality","country","decimalLatitude","decimalLongitude","accuracy","reportedBy","substrate","vegetationType","associatedTaxa","ecologyNotes","notes","leg","det","URI"
"DMS-9340904","","2018-10-06T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Terkelskov","Denmark",55.82350232048706,12.311296463012695,25,"Sandra de Blécourt Dalsberg","ved og rødder af døde træer","blandskov (med løv- og nåletræer)","","På mosbegroet stamme. I området voksede birk, lærk, poppel, gran, løn...","Mørk stok med hvide fibre og med tynd ring. Lugt en anelse muggen.","Sandra de Blécourt Dalsberg","Sandra de Blécourt Dalsberg","https://svampe.databasen.org/observations/9340904"
"DMS-9340927","","2018-10-07T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Gribskov, Duemosehus","Denmark",56.00130871773833,12.27599501435179,50,"Jakob S.M Raarup","ved og rødder af døde træer","løvskov","bøg (Fagus)",,,"Jakob S.M Raarup","Jakob S.M Raarup","https://svampe.databasen.org/observations/9340927"
"DMS-9341013","","2018-10-07T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Velling Kalv (inkl Velling Gavl)","Denmark",56.04095564086183,9.491707918932661,25,"Jens Mårbjerg","ved og rødder af døde træer","løvskov med naturskovspræg","bøg (Fagus)","På meget trøsket liggende bøgestamme",,"Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/9341013"
"DMS-9341282","","2018-09-25T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Buskmose Skov","Denmark",54.92354135614989,9.545887472340837,75,"Eva Lau Olsen","ved og rødder af døde træer","løvskov med naturskovspræg","",,,"Eva Lau Olsen","Bjørn W. Pedersen","https://svampe.databasen.org/observations/9341282"
"DMS-9342161","","2018-10-09T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Ahler Gårde","Denmark",55.976487704636504,8.718799352645874,10,"Hanne Petra Katballe","ved og rødder af døde træer","sumpskov","","3 frugtlegemer på grene i kvasbunke.",,"Hanne Petra Katballe, David Boertmann","Hanne Petra Katballe","https://svampe.databasen.org/observations/9342161"
"DMS-9343685","","2018-10-13T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Døjsø","Denmark",56.030106439245834,9.913312957214657,10,"Jens Mårbjerg","træflis og savsmuld","løvskov med naturskovspræg","bøg (Fagus sylvatica)",,"Sumpstien","Jens Mårbjerg","Jens Mårbjerg","https://svampe.databasen.org/observations/9343685"
"DMS-9343908","","2018-10-12T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Røgerup Mose","Denmark",55.74565395742139,11.937482357025146,25,"Rasmus Riis-Hansen","ved og rødder af døde træer","græsningsskov/dyrehave","bøg (Fagus sylvatica)",,,"Rasmus Riis-Hansen, Martin Schier Christiansen, Mikkel Toft Hornum","Rasmus Riis-Hansen","https://svampe.databasen.org/observations/9343908"
"DMS-9344257","","2018-10-14T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Teglstrup Hegn","Denmark",56.06096750191487,12.561887738993391,75,"Benny T. Olsen","ved og rødder af døde træer","løvskov","bøg (Fagus)",,,"Benny T. Olsen","Benny T. Olsen","https://svampe.databasen.org/observations/9344257"
"DMS-9344348","","2018-10-12T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Røgerup Mose","Denmark",55.74567207416059,11.937265768647194,10,"Mikkel Toft Hornum","ved og rødder af døde træer","græsningsskov/dyrehave","",,,"Mikkel Toft Hornum, Martin Schier Christiansen, Rasmus Riis-Hansen","Mikkel Toft Hornum","https://svampe.databasen.org/observations/9344348"
"DMS-9344603","","2018-10-15T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Øland","Denmark",57.08347835386635,9.585742950439453,75,"Bjarne Nielsen","ved og rødder af døde træer","løvskov med naturskovspræg","","direkte på dødt ved under løv og lidt nål",,"Bjarne Nielsen","Thomas Kehlet","https://svampe.databasen.org/observations/9344603"
"DMS-9344680","","2018-10-15T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Hydeskov","Denmark",54.764997832902125,11.715648646932095,75,"Flemming Ryden","ved og rødder af døde træer","blandskov (med løv- og nåletræer)","","Flere grupper på stor løvtræsstamme,som jeg har besøgt mange gange i den sidste måneds tid",,"Flemming Ryden","Flemming Ryden","https://svampe.databasen.org/observations/9344680"
"DMS-9344875","","2018-10-16T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Torstedlund Skov","Denmark",56.795097281506116,9.77581936866045,25,"Erik Arnfred Thomsen","ved og rødder af døde træer","løvskov med naturskovspræg","løvtræ (løvtræ)",,,"Erik Arnfred Thomsen","Erik Arnfred Thomsen","https://svampe.databasen.org/observations/9344875"
"DMS-9345166","","2018-10-18T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Dueodde","Denmark",55.00251667,15.08023056,15,"Jan Riis-Hansen","ved og rødder af døde træer","løvskov med naturskovspræg","pil (Salix)",,,"Jan Riis-Hansen","Benny T. Olsen","https://svampe.databasen.org/observations/9345166"
"DMS-9345215","","2018-10-18T00:00:00.000Z","approved",14119,"Galerina marginata","","randbæltet hjelmhat","LC","Greve Strand","Denmark",55.58407128,12.30082906,15,"Christian Eldam","jord eller humus","græsplæne","",,,"Christian Eldam","Thomas Kehlet","https://svampe.databasen.org/observations/9345215"
